gene_id,Name
FUN_027657,
FUN_027675,
FUN_027688,ARF6
FUN_027698,
FUN_027721,MFAP1
FUN_027896,
FUN_027969,
FUN_028019,PPWD1
FUN_028040,
FUN_028056,
FUN_028068,
FUN_028136,
FUN_028152,
FUN_028161,
FUN_028203,
FUN_028259,
FUN_028273,
FUN_028283,NUDT2
FUN_028385,IMPL3_2
FUN_028408,
FUN_028452,
FUN_028464,
FUN_028480,
FUN_028498,
FUN_028516,
FUN_028530,ERP60
FUN_028541,
FUN_028555,
FUN_028568,
FUN_028575,
FUN_028600,
FUN_028622,
FUN_028629,
FUN_028651,
FUN_028682,
FUN_028695,
FUN_028712,
FUN_028735,
FUN_028794,
FUN_028827,
FUN_028835,
FUN_028840,
FUN_028942,
FUN_028951,
FUN_028957,MYO20
FUN_028991,
FUN_029000,
FUN_029007,
FUN_029011,
FUN_029031,GPROP12_15
FUN_029042,GPROP12_16
FUN_029058,MOCS1
FUN_029066,
FUN_029076,
FUN_029079,
FUN_029090,
FUN_029104,
FUN_029108,
FUN_029142,
FUN_029245,
FUN_029401,
FUN_029409,
FUN_029436,
FUN_029444,
FUN_029482,
FUN_029505,
FUN_029513,
FUN_029521,PIK3C2A
FUN_029522,
FUN_029524,
FUN_029528,
FUN_029533,
FUN_029543,
FUN_029550,
FUN_029566,
FUN_029570,CCNYL1B
FUN_029580,
FUN_029581,
FUN_029585,
FUN_029594,
FUN_029603,
FUN_029607,
FUN_029610,
FUN_029618,
FUN_029621,
FUN_029624,RPS3A
FUN_029627,
FUN_029635,FAM96B
FUN_029637,
FUN_029649,
FUN_029654,
FUN_029657,
FUN_029667,
FUN_029671,
FUN_029673,
FUN_029675,MED23
FUN_029686,
FUN_029692,
FUN_029699,
FUN_029701,CLP1_7
FUN_029724,
FUN_030712,
FUN_029763,
FUN_029772,
FUN_029780,
FUN_029784,
FUN_029788,
FUN_029790,TRPM7
FUN_029833,
FUN_029836,
FUN_029837,
FUN_029839,
FUN_029841,
FUN_029845,
FUN_029851,HPX6_5
FUN_001931,
FUN_002718,
FUN_002763,
FUN_002993,
FUN_003577,
FUN_003734,
FUN_004428,SEPW1
FUN_004852,XPO1_3
FUN_006269,
FUN_007279,
FUN_007509,PRX5_1
FUN_007663,PRX5_2
FUN_007826,CYP4V2_7
FUN_008285,
FUN_008604,
FUN_008690,
FUN_008756,
FUN_009002,SOD2
FUN_009558,
FUN_009853,
FUN_010614,
FUN_010980,
FUN_011611,MATN1
FUN_012508,
FUN_012600,
FUN_012940,
FUN_013072,
FUN_013327,
FUN_013600,
FUN_013823,
FUN_014088,
FUN_014871,
FUN_014973,
FUN_015127,
FUN_015439,
FUN_015612,
FUN_015691,
FUN_016035,
FUN_016336,DDX18
FUN_016475,
FUN_016500,POLR2F
FUN_016593,
FUN_016952,
FUN_017048,
FUN_017383,
FUN_017909,
FUN_017964,
FUN_018119,
FUN_018200,
FUN_018285,
FUN_018611,
FUN_019157,TBL1XR1_2
FUN_019277,
FUN_019572,
FUN_019593,
FUN_019652,
FUN_019696,
FUN_019746,
FUN_019760,
FUN_019964,
FUN_019993,
FUN_020003,
FUN_020076,
FUN_020261,
FUN_020803,
FUN_021189,
FUN_021259,
FUN_021358,
FUN_021777,
FUN_022010,
FUN_022077,
FUN_022094,
FUN_022464,
FUN_022951,
FUN_022958,
FUN_023053,
FUN_023071,MRPL19
FUN_023112,RPL12_1
FUN_023345,
FUN_023424,
FUN_023449,
FUN_023562,
FUN_023847,
FUN_024091,
FUN_024313,
FUN_024345,
FUN_024421,
FUN_024478,
FUN_024522,
FUN_024539,HR39_4
FUN_024609,
FUN_024730,
FUN_024754,
FUN_024808,
FUN_024837,
FUN_024904,
FUN_024909,
FUN_025018,
FUN_025069,
FUN_025148,
FUN_025234,
FUN_025254,
FUN_025275,
FUN_025378,
FUN_025445,
FUN_025535,
FUN_025684,
FUN_025722,
FUN_025909,
FUN_025936,
FUN_025994,
FUN_026025,
FUN_026235,
FUN_026240,
FUN_026250,
FUN_026281,
FUN_026296,
FUN_026308,
FUN_026438,
FUN_026565,
FUN_026597,
FUN_026628,
FUN_026653,CAF1
FUN_026706,
FUN_026731,
FUN_026749,
FUN_026771,
FUN_026785,
FUN_030302,
FUN_026850,
FUN_026856,
FUN_027111,
FUN_027173,
FUN_027201,
FUN_027230,CUL1_4
FUN_027251,
FUN_027276,
FUN_027279,
FUN_027285,
FUN_027344,
FUN_027374,
FUN_027396,
FUN_027437,
FUN_027474,
FUN_027570,
FUN_027617,
FUN_027673,
FUN_027739,
FUN_027742,
FUN_027820,
FUN_027840,
FUN_027849,
FUN_027912,
FUN_027913,
FUN_027926,
FUN_027938,
FUN_027951,
FUN_030303,
FUN_028189,
FUN_028221,
FUN_028277,
FUN_028286,
FUN_028366,
FUN_028440,
FUN_028453,
FUN_028472,
FUN_028492,
FUN_028601,
FUN_028672,
FUN_028696,ACHE-1_4
FUN_028699,
FUN_028739,
FUN_028756,
FUN_028783,
FUN_028793,
FUN_028825,
FUN_028853,
FUN_028871,
FUN_028894,
FUN_028898,
FUN_028902,PAX7_2
FUN_028915,
FUN_028935,
FUN_028948,
FUN_028959,
FUN_028963,
FUN_028964,
FUN_028969,
FUN_028975,
FUN_028982,EDRF1
FUN_028997,
FUN_029002,
FUN_029043,
FUN_029064,PAX7_3
FUN_029067,
FUN_029083,
FUN_029089,
FUN_029098,
FUN_029126,DCR-1
FUN_029197,
FUN_029246,
FUN_029265,
FUN_029310,CPAP3-B_4
FUN_029326,
FUN_029359,
FUN_029370,
FUN_029410,
FUN_029412,
FUN_029415,
FUN_029417,
FUN_029425,IFLTD1_7
FUN_029431,
FUN_029437,
FUN_029440,
FUN_029447,
FUN_029457,
FUN_029470,
FUN_029475,
FUN_000857,
FUN_001004,
FUN_002377,
FUN_002450,
FUN_002515,
FUN_002580,
FUN_002657,
FUN_002912,
FUN_004096,
FUN_030435,
FUN_030436,
FUN_008687,
FUN_009342,
FUN_009702,
FUN_009942,
FUN_010851,
FUN_012106,
FUN_012285,
FUN_012337,
FUN_013323,
FUN_013347,
FUN_013488,
FUN_014350,
FUN_014441,
FUN_014604,
FUN_030437,
FUN_015235,
FUN_015462,
FUN_015614,INTS2_1
FUN_015761,
FUN_015835,
FUN_015896,
FUN_015967,
FUN_016096,
FUN_016132,ALAS1
FUN_016147,ALAS2_1
FUN_016353,ALAS2_2
FUN_016629,ALAS2_3
FUN_016959,MAF1
FUN_017053,CLCA4
FUN_017125,
FUN_017297,
FUN_030438,
FUN_017795,
FUN_017919,
FUN_018073,
FUN_018194,
FUN_018267,
FUN_018911,SDS22
FUN_018945,RPL27
FUN_018999,
FUN_019081,
FUN_019224,MRPL24
FUN_019288,
FUN_019338,GSTT1_1
FUN_019411,
FUN_019493,
FUN_019578,
FUN_019749,
FUN_019848,
FUN_020119,
FUN_020210,
FUN_020280,
FUN_020359,
FUN_020441,AGPAT5
FUN_020516,
FUN_020657,
FUN_021074,
FUN_021352,
FUN_021385,
FUN_021556,
FUN_021575,
FUN_021670,CSN5_1
FUN_022331,
FUN_022474,
FUN_022555,NACHRA2_7
FUN_022605,
FUN_022967,
FUN_023014,LETM1_8
FUN_023231,
FUN_023277,
FUN_023529,
FUN_023564,
FUN_023624,
FUN_023681,
FUN_023759,
FUN_024074,
FUN_024097,
FUN_024112,
FUN_024128,
FUN_024181,
FUN_024715,
FUN_024830,CSL4
FUN_024852,
FUN_024917,
FUN_025453,
FUN_025517,
FUN_025606,
FUN_025781,
FUN_025786,
FUN_025867,
FUN_025905,
FUN_025917,
FUN_025956,
FUN_025968,
FUN_026005,
FUN_026136,
FUN_026498,
FUN_026505,
FUN_026566,
FUN_026588,
FUN_026635,
FUN_026689,
FUN_026751,
FUN_026839,
FUN_026922,
FUN_026936,
FUN_026974,
FUN_027010,
FUN_027040,
FUN_027064,
FUN_027080,
FUN_027120,
FUN_027187,
FUN_027198,SFT2D2
FUN_027215,
FUN_027256,
FUN_030439,
FUN_027349,
FUN_027399,VIPAS39
FUN_027425,
FUN_027509,
FUN_027541,
FUN_027561,
FUN_027639,
FUN_027701,
FUN_027710,
FUN_027718,
FUN_027743,
FUN_027773,
FUN_027788,
FUN_028023,
FUN_028192,
FUN_028268,
FUN_028376,
FUN_028404,
FUN_028617,
FUN_028633,
FUN_028649,
FUN_028656,
FUN_028658,
FUN_028662,
FUN_028675,
FUN_028692,ZNFX1_5
FUN_028719,
FUN_028746,
FUN_028770,
FUN_028820,
FUN_000282,
FUN_001583,
FUN_002059,
FUN_002936,
FUN_003337,
FUN_004114,BIN3
FUN_004325,
FUN_004672,
FUN_004803,
FUN_004966,
FUN_004997,
FUN_005483,
FUN_006128,
FUN_006475,METTL6
FUN_006632,ALPHATUB84B_1
FUN_006841,
FUN_007133,
FUN_007416,SRP68
FUN_007923,TRC8
FUN_008168,
FUN_008482,
FUN_008713,
FUN_009639,
FUN_010524,
FUN_010629,
FUN_010741,
FUN_010767,
FUN_010812,
FUN_010917,
FUN_011039,
FUN_011577,ERK7
FUN_011971,
FUN_011995,
FUN_012116,
FUN_012551,
FUN_012640,
FUN_012736,
FUN_013003,
FUN_013176,
FUN_013425,MBTPS1
FUN_014008,
FUN_014317,
FUN_015079,
FUN_015987,
FUN_016234,
FUN_016669,
FUN_016805,
FUN_017175,TGFBR3_1
FUN_017523,
FUN_017606,
FUN_017728,
FUN_017950,
FUN_018034,
FUN_018353,SEC22B
FUN_018405,
FUN_018519,
FUN_018676,
FUN_018702,
FUN_018787,
FUN_018828,SU(Z)12
FUN_018933,
FUN_018972,DRE4
FUN_019118,
FUN_019178,
FUN_019272,
FUN_019435,
FUN_019789,
FUN_020300,
FUN_020446,
FUN_020491,
FUN_021439,
FUN_021542,
FUN_021580,
FUN_021692,SYX17
FUN_021910,
FUN_022034,
FUN_022065,
FUN_022238,H1F0
FUN_022341,
FUN_022425,
FUN_030510,
FUN_022519,P53
FUN_022560,
FUN_022608,
FUN_022654,
FUN_022915,
FUN_022952,EIF4G_8
FUN_023159,PLC21C_1
FUN_023276,PLC21C_2
FUN_023334,
FUN_023390,
FUN_023440,
FUN_023752,
FUN_023805,RGS17
FUN_023883,RGS20
FUN_023952,
FUN_024032,
FUN_024250,BAB1_2
FUN_024343,
FUN_024414,
FUN_024511,
FUN_024705,
FUN_024721,RPL7_2
FUN_024763,
FUN_024773,
FUN_024823,PABPN1_1
FUN_024863,
FUN_024911,
FUN_025048,
FUN_025067,
FUN_025104,
FUN_025131,
FUN_025152,
FUN_025505,
FUN_025542,
FUN_025573,
FUN_025616,
FUN_025674,TLN2
FUN_025688,
FUN_025697,
FUN_025703,
FUN_025712,
FUN_025748,
FUN_025776,
FUN_025844,
FUN_026100,FEM1C
FUN_026173,
FUN_026205,
FUN_026221,
FUN_026275,
FUN_026294,
FUN_026334,
FUN_026363,
FUN_026391,
FUN_026448,
FUN_026474,
FUN_026483,
FUN_026559,
FUN_026609,
FUN_026637,
FUN_026660,
FUN_026722,
FUN_026738,
FUN_026802,
FUN_026831,NTF-2
FUN_026842,
FUN_026865,
FUN_026890,
FUN_026935,
FUN_026970,
FUN_027025,
FUN_027055,
FUN_027151,
FUN_027170,
FUN_027236,
FUN_027274,
FUN_027296,
FUN_027334,
FUN_027532,MAP3K4
FUN_027545,
FUN_027576,
FUN_027644,
FUN_027668,
FUN_027707,
FUN_027711,
FUN_027792,
FUN_027866,
FUN_027964,
FUN_027975,
FUN_027987,
FUN_028002,
FUN_028021,26S
FUN_028033,
FUN_028095,
FUN_028112,
FUN_028305,
FUN_028317,
FUN_028362,
FUN_028412,
FUN_028430,
FUN_028439,
FUN_028455,
FUN_028467,
FUN_000394,RH2_1
FUN_001410,RH2_5
FUN_002036,
FUN_002625,
FUN_003228,
FUN_003630,
FUN_003684,ZSWIM5
FUN_003771,
FUN_003793,
FUN_004097,RAD54L
FUN_004597,
FUN_004776,
FUN_004862,FUR1_1
FUN_005255,UBE2T
FUN_005361,
FUN_005551,
FUN_006821,
FUN_008698,
FUN_030561,
FUN_009382,
FUN_009889,
FUN_010230,
FUN_010371,
FUN_012411,
FUN_012689,
FUN_012755,
FUN_013197,
FUN_013355,
FUN_013491,
FUN_013613,
FUN_013721,
FUN_013762,
FUN_013826,
FUN_014332,GLOB1_1
FUN_014587,
FUN_014740,
FUN_014877,
FUN_015207,DPIT47
FUN_015287,
FUN_015507,
FUN_015593,
FUN_030562,
FUN_016015,
FUN_016091,
FUN_016320,
FUN_016799,
FUN_016957,
FUN_017074,
FUN_017377,
FUN_017733,
FUN_017808,
FUN_017891,
FUN_017936,
FUN_018132,
FUN_018153,
FUN_018266,
FUN_018359,
FUN_018409,
FUN_018490,
FUN_018747,
FUN_018809,
FUN_018918,
FUN_019116,
FUN_019217,SMC5_2
FUN_019371,SMC5_3
FUN_019501,
FUN_019579,
FUN_019615,
FUN_019645,
FUN_019688,
FUN_019819,
FUN_019920,
FUN_020059,
FUN_020192,
FUN_020313,
FUN_020443,
FUN_020689,RWDD3
FUN_020734,MED26
FUN_020882,
FUN_020917,
FUN_020993,ZSWIM7
FUN_021160,
FUN_021403,
FUN_021566,
FUN_021568,
FUN_021579,
FUN_021669,
FUN_021723,
FUN_021813,DHX8
FUN_021934,CCDC65
FUN_022176,
FUN_022231,
FUN_022277,
FUN_022405,
FUN_022643,
FUN_022729,
FUN_022774,
FUN_023393,
FUN_023593,
FUN_023627,
FUN_023726,
FUN_023760,
FUN_023821,YTHDC2_2
FUN_024606,
FUN_024774,
FUN_025515,
FUN_025659,
FUN_025775,
FUN_025823,
FUN_025838,ATP2B3
FUN_025894,
FUN_026048,
FUN_026089,
FUN_026241,
FUN_026286,
FUN_026304,
FUN_026709,
FUN_026914,
FUN_026953,
FUN_027007,GRIK1
FUN_027146,
FUN_027366,
FUN_027529,
FUN_027581,
FUN_027606,
FUN_027650,
FUN_027685,
FUN_027696,
FUN_027730,
FUN_027752,
FUN_027779,
FUN_027785,
FUN_027813,
FUN_027874,
FUN_028022,
FUN_028069,
FUN_028098,
FUN_001005,
FUN_003605,
FUN_003738,
FUN_003989,
FUN_004229,
FUN_004565,
FUN_004737,DPEP1_1
FUN_004940,
FUN_005152,
FUN_005949,
FUN_006184,
FUN_007944,
FUN_008198,
FUN_008331,RPA1_2
FUN_009286,
FUN_009481,
FUN_009870,
FUN_010177,
FUN_010328,
FUN_010560,
FUN_010639,
FUN_010722,
FUN_011226,
FUN_011277,VPS33A_3
FUN_011483,
FUN_011700,
FUN_011764,
FUN_012109,SLC5A7_1
FUN_012405,
FUN_012662,COL3A1_4
FUN_012942,
FUN_013045,
FUN_013162,COL1A1_2
FUN_013381,
FUN_013476,
FUN_013695,
FUN_013889,
FUN_014049,
FUN_014323,
FUN_014490,
FUN_014639,
FUN_014799,
FUN_014918,
FUN_015059,MRPL32
FUN_015123,
FUN_015220,ERN1_1
FUN_015414,
FUN_015633,
FUN_016133,
FUN_016733,
FUN_016755,
FUN_016958,
FUN_017011,SHOX2_3
FUN_017191,
FUN_018152,
FUN_018736,SSP3_3
FUN_018948,
FUN_019111,
FUN_019153,
FUN_019205,
FUN_019245,
FUN_019279,
FUN_019355,
FUN_019512,
FUN_019581,
FUN_019637,
FUN_019694,
FUN_019714,
FUN_019748,
FUN_019804,B3GALT2
FUN_019874,A4GNT_9
FUN_019893,A4GNT_10
FUN_019931,
FUN_019978,
FUN_020116,
FUN_020228,
FUN_020377,
FUN_020404,
FUN_020452,
FUN_020532,
FUN_020797,BRE1
FUN_020959,
FUN_030585,
FUN_021218,
FUN_021291,
FUN_021629,
FUN_021800,
FUN_021994,
FUN_022085,
FUN_022360,
FUN_022442,
FUN_022489,
FUN_022575,
FUN_022640,
FUN_022777,
FUN_022824,
FUN_022885,
FUN_023027,
FUN_023046,
FUN_023079,
FUN_023197,
FUN_023404,
FUN_023542,
FUN_023629,
FUN_023660,
FUN_023721,
FUN_023780,
FUN_023810,
FUN_023823,
FUN_023943,
FUN_023979,
FUN_024033,
FUN_024098,
FUN_024144,
FUN_024190,
FUN_024372,
FUN_024568,
FUN_024604,
FUN_024649,
FUN_024766,
FUN_024792,
FUN_024867,
FUN_024924,EIF5A
FUN_024949,
FUN_024978,
FUN_025098,
FUN_025147,
FUN_025289,
FUN_025385,
FUN_025707,
FUN_025728,
FUN_025744,
FUN_025759,
FUN_025878,
FUN_025991,
FUN_026074,
FUN_026199,
FUN_026411,
FUN_026603,
FUN_026878,
FUN_026883,
FUN_026909,TAF6_3
FUN_026948,
FUN_026968,
FUN_027009,
FUN_027075,
FUN_027351,
FUN_027503,
FUN_027525,TBX20_3
FUN_027543,
FUN_000986,
FUN_001476,
FUN_001921,
FUN_002528,
FUN_003231,
FUN_003972,
FUN_004543,
FUN_004798,
FUN_005163,
FUN_005481,
FUN_005948,
FUN_006258,
FUN_006832,
FUN_007268,
FUN_007381,
FUN_010317,
FUN_010409,
FUN_010736,
FUN_010832,
FUN_010960,
FUN_011262,
FUN_011371,
FUN_011777,
FUN_012014,
FUN_012616,
FUN_012951,
FUN_013079,
FUN_013701,
FUN_013725,
FUN_013805,MSMO1_1
FUN_013936,CYP4V2_10
FUN_014316,
FUN_014399,
FUN_014803,
FUN_014872,
FUN_014934,
FUN_015087,
FUN_015183,
FUN_016088,
FUN_016531,
FUN_016623,
FUN_016919,
FUN_017409,
FUN_017761,
FUN_018378,
FUN_019189,HMCN1
FUN_019310,FGFRL1
FUN_019431,
FUN_019485,
FUN_019565,
FUN_019836,
FUN_019866,
FUN_019947,
FUN_020021,
FUN_020072,
FUN_020436,
FUN_020619,
FUN_020627,
FUN_020827,KIF11_3
FUN_020961,
FUN_021285,
FUN_021369,
FUN_021828,
FUN_021917,IFLTD1_4
FUN_022185,
FUN_022329,AMDHD1
FUN_022412,TM9SF2
FUN_022491,
FUN_022518,
FUN_022671,CLIPA3
FUN_022782,
FUN_022936,
FUN_023001,
FUN_023098,
FUN_023175,
FUN_023223,RAC1_2
FUN_023264,F8A2
FUN_023280,
FUN_023294,MAP2K3
FUN_023325,
FUN_023441,
FUN_023488,CTU1
FUN_023540,MRPL27
FUN_023555,
FUN_023618,
FUN_023647,
FUN_023655,EIF3S7_2
FUN_023714,UQCRC2
FUN_023765,
FUN_023820,NANOS3
FUN_023889,
FUN_023916,
FUN_023993,
FUN_024072,
FUN_024114,
FUN_024243,
FUN_024259,
FUN_024354,
FUN_024491,
FUN_024519,
FUN_024728,
FUN_024831,
FUN_024858,
FUN_024946,
FUN_025001,
FUN_025009,
FUN_025038,
FUN_025063,
FUN_025153,
FUN_025168,
FUN_025468,TOLL8
FUN_025933,
FUN_026187,
FUN_026253,
FUN_026289,
FUN_026313,
FUN_026371,
FUN_026460,
FUN_026543,
FUN_026868,
FUN_001320,
FUN_002551,
FUN_002882,
FUN_003136,
FUN_004493,
FUN_005932,
FUN_006291,
FUN_006485,
FUN_006974,
FUN_007484,
FUN_008232,
FUN_008327,
FUN_008790,CCT5_1
FUN_008981,
FUN_009287,ARL5B
FUN_009536,
FUN_009695,
FUN_009785,
FUN_009871,
FUN_009984,
FUN_010054,
FUN_010142,
FUN_010278,
FUN_010377,APITD1
FUN_010453,
FUN_010649,GPR89
FUN_010838,
FUN_010970,
FUN_011075,
FUN_011186,
FUN_012095,
FUN_012192,
FUN_012450,
FUN_013399,
FUN_013620,
FUN_030665,
FUN_016000,THOC3
FUN_016157,
FUN_016517,
FUN_016749,
FUN_016844,
FUN_016866,
FUN_017054,
FUN_017230,
FUN_017320,
FUN_017412,
FUN_017469,YTHDC2_1
FUN_017648,
FUN_017763,
FUN_017980,
FUN_018110,ALDH1A1
FUN_018258,
FUN_018338,
FUN_018595,
FUN_018720,
FUN_018893,
FUN_018949,
FUN_019099,
FUN_019313,
FUN_019497,
FUN_019569,
FUN_019617,
FUN_019798,
FUN_019973,
FUN_020082,
FUN_020139,
FUN_020338,
FUN_020382,
FUN_020582,
FUN_020745,
FUN_020888,
FUN_021058,
FUN_021111,GLOD4
FUN_021144,
FUN_021198,
FUN_021239,RPS15
FUN_021280,EF2
FUN_021387,
FUN_021509,
FUN_021645,
FUN_021689,DPH1
FUN_021750,
FUN_021848,
FUN_021928,NCC69
FUN_022132,
FUN_022194,
FUN_022233,
FUN_022259,
FUN_022305,
FUN_022346,
FUN_022415,
FUN_022471,
FUN_022522,
FUN_022577,
FUN_022727,
FUN_022953,
FUN_022993,
FUN_023086,
FUN_023171,COX11
FUN_023658,
FUN_024178,
FUN_024295,IER3IP1
FUN_024314,
FUN_024342,
FUN_024432,
FUN_024528,
FUN_024545,
FUN_024581,
FUN_024674,
FUN_024693,
FUN_024726,
FUN_024752,
FUN_024882,
FUN_024970,
FUN_025014,
FUN_025074,
FUN_025184,
FUN_025207,
FUN_025229,
FUN_025259,
FUN_025301,
FUN_025325,
FUN_025344,
FUN_025376,
FUN_025451,
FUN_025475,
FUN_025507,
FUN_025532,
FUN_025563,
FUN_025601,
FUN_025626,
FUN_025677,
FUN_025698,
FUN_025893,
FUN_026031,
FUN_026124,
FUN_026157,
FUN_026219,IKZF5
FUN_000008,
FUN_002281,
FUN_002429,
FUN_002669,
FUN_002845,
FUN_004780,
FUN_005229,POLR2C
FUN_005340,
FUN_006305,
FUN_006439,
FUN_007705,
FUN_007839,
FUN_008118,
FUN_008447,
FUN_008550,
FUN_008727,
FUN_008768,
FUN_010218,
FUN_011042,
FUN_011149,
FUN_011308,
FUN_011537,
FUN_011811,
FUN_012420,
FUN_012460,
FUN_012537,
FUN_012638,
FUN_012800,
FUN_012944,
FUN_013063,
FUN_013191,
FUN_013311,
FUN_013461,
FUN_013679,
FUN_013985,
FUN_014468,
FUN_014560,
FUN_014714,MRPL18
FUN_014792,
FUN_014873,
FUN_014985,SRSF1
FUN_015142,
FUN_015239,
FUN_015405,
FUN_015482,
FUN_015565,
FUN_015603,
FUN_015674,
FUN_015780,
FUN_016074,
FUN_016256,
FUN_016361,
FUN_016491,
FUN_016515,
FUN_016971,
FUN_017141,
FUN_017255,
FUN_017607,NMDAR1
FUN_017938,
FUN_018358,
FUN_018524,
FUN_018682,
FUN_018745,
FUN_018826,
FUN_019050,
FUN_019197,MFSD1_2
FUN_019474,
FUN_019563,
FUN_019668,CTL9
FUN_019784,
FUN_019846,
FUN_019885,
FUN_020023,MSL-3
FUN_020085,
FUN_020169,
FUN_020234,
FUN_020262,
FUN_020327,TPH1
FUN_020457,APLIP1
FUN_020513,
FUN_020617,
FUN_020681,
FUN_020740,
FUN_020953,
FUN_021002,
FUN_021468,
FUN_021539,HDDC3
FUN_021592,ATG5
FUN_021624,CDIP1
FUN_021686,
FUN_021728,
FUN_021773,
FUN_021789,ZNFX1_3
FUN_021850,ZNFX1_4
FUN_022020,
FUN_022059,GTSF1_4
FUN_022086,
FUN_022196,PPO1_2
FUN_022584,
FUN_022697,
FUN_022740,
FUN_022770,MOB2
FUN_022853,
FUN_023070,
FUN_023092,
FUN_023137,
FUN_023158,
FUN_023172,
FUN_023224,GYC88E_1
FUN_023338,GYC88E_2
FUN_023453,ST6GAL
FUN_023485,
FUN_023526,
FUN_023565,
FUN_023610,
FUN_023697,
FUN_023771,
FUN_023822,
FUN_023852,
FUN_023898,
FUN_023958,
FUN_024008,
FUN_024027,NXT1
FUN_024036,
FUN_024088,HIP14
FUN_024143,
FUN_024201,
FUN_024255,
FUN_024290,
FUN_024302,
FUN_024349,
FUN_024391,
FUN_024490,
FUN_024536,
FUN_024723,ANP32A
FUN_024769,
FUN_024809,
FUN_024860,
FUN_025138,
FUN_025329,
FUN_025353,
FUN_025464,
FUN_025602,
FUN_025611,
FUN_025959,
FUN_000116,
FUN_000725,
FUN_002687,
FUN_003261,
FUN_005568,
FUN_005667,
FUN_005802,
FUN_006142,
FUN_006980,
FUN_006993,
FUN_007010,
FUN_007078,
FUN_007222,MUC2_2
FUN_007895,
FUN_007940,
FUN_007957,
FUN_007973,
FUN_008393,
FUN_008969,
FUN_008980,
FUN_008997,
FUN_009016,
FUN_009021,
FUN_009052,
FUN_009115,
FUN_009131,
FUN_009147,
FUN_009158,
FUN_009244,
FUN_009591,
FUN_009600,
FUN_009614,
FUN_009636,
FUN_010196,
FUN_010521,
FUN_010675,
FUN_011060,
FUN_011235,
FUN_012060,
FUN_012310,
FUN_012448,
FUN_012497,
FUN_012563,
FUN_013185,
FUN_013332,
FUN_013493,
FUN_013530,
FUN_013661,
FUN_013955,
FUN_014040,
FUN_014089,
FUN_014186,
FUN_014327,
FUN_014542,
FUN_015135,
FUN_015265,
FUN_015867,
FUN_015903,
FUN_015939,
FUN_016165,
FUN_016248,
FUN_016323,DNAJA1_1
FUN_016499,DNAJA1_2
FUN_016591,
FUN_016621,
FUN_016806,
FUN_017211,COL3A1_8
FUN_017336,
FUN_017459,
FUN_017526,
FUN_017584,
FUN_017845,
FUN_018049,
FUN_018105,
FUN_018744,
FUN_018965,
FUN_019107,
FUN_019648,
FUN_019771,
